0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26824072.748315517,6320800.309666242,30700000.0,2447.8630822614723,0.004485582519372256
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8260799.852240559,6320800.309666242,121200000.0,462.89922740154805,0.0028602177897412923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27916403.320773814,6320800.309666242,0.0,1645.6871147068844,0.009471657141711763
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27916403.320773814,6320800.309666242,0.0,991.2844737999117,0.02273197714010823
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,2,2,0,0,1936917.0703689868,97353464.59030245,0.0,74.93541280932705,0.0010309389133259877
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26834861.238471705,0.0,30700000.0,0.0,0.03738925805543353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,2873010.1350849187,63508401.44395137,0.0,0.0,0.004267367623530799
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26824072.748315517,6320800.309666242,30700000.0,1186.8427065510166,0.013456747558116771
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20696691.066094596,25037214.086173728,0.0,667.1190112508566,0.019126634184323022
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26802495.768003143,12857587.774250694,30700000.0,2445.865976052096,0.004483325624812724
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,941037.8334399471,92794680.44550541,0.0,85.00715557100051,0.00010083108955511426
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20696691.066094596,25037214.086173728,0.0,0.0,0.05312953940089728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20664325.595626034,31358014.39583997,0.0,665.6665703713105,0.019116478158805128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26859569.59079642,26620087.93698693,0.0,2449.890643618317,0.004497411577258428
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,20664325.595626034,33490621.782781776,0.0,1105.110517217996,0.007965199232835472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,3,0,0,627358.5556266314,101248088.14211346,0.0,0.0,0.0005601727197506348
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26834861.238471705,0.0,30700000.0,1971.1480966488975,0.0056083887083150305
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26859569.59079642,26620087.93698693,0.0,0.0,0.037478429810486914
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26802495.768003143,8453407.696608048,30700000.0,1185.8744126313193,0.013449976874438177
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26834861.238471705,0.0,30700000.0,2448.86163536616,0.004486710966652022
