A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
127,138.12704924284196,10,0.5728278741092842,248.85848434000644,1.5,0.39165060524998213,56.57772570592817,10,0.5888701074767345,229.18088270310008,1.0,0.14685234638870923,224.0883877136215,1.0,0.5891325775370904,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
17,277.8607933363606,10,0.08126013279815923,302.74021857758316,1.0,0.43773122735895026,189.91842186767616,10,0.5240834128629461,94.81127422129182,1.5,0.013781058404707669,235.6766582826774,10,0.0630997282536448,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
36,160.38850036009302,10,0.6230939929471383,269.96374244847203,10,0.6902636562178339,134.3708415138883,1.5,0.8625327804021918,226.19073119701025,1.0,0.36345907581885606,240.79289530867894,1.5,0.3176420432586094,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
71,271.6141276187424,1.5,0.5909059696800111,38.13922704370157,1.5,0.5212469370447118,148.42657078519068,1.0,0.4660849419882095,130.0999668183422,1.0,0.4540836918777764,93.6983750636799,1.0,0.8756258484164987,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
87,71.27514939862185,1.5,0.08319577138266468,161.0989052443094,1.0,0.07754343749530762,220.6183212034877,10,0.6300562170692158,178.27316525144485,1.0,0.6281711450641662,72.27895669718197,10,0.9117196683762089,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
32,63.049184704055484,1.0,0.7466112738086275,204.01216830209407,1.5,0.4501761222533805,195.2802820593847,1.0,0.23336493200306618,289.1279105053956,1.0,0.5877554565387748,182.6449074030529,1.0,0.7861792568679794,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
51,330.39981933217064,1.0,0.2824705588335816,224.33624942857483,1.0,0.6257563774580709,46.2160538695198,1.0,0.24586056730135245,175.32491687272736,10,0.2547773225672608,129.90086030375184,1.5,0.2998668844081036,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
56,303.412268259098,10,0.22630318960784157,257.36721357481554,10,0.8352424639580132,71.76803627508389,1.0,0.04242792264265317,37.548740106501285,10,0.9237814291426748,297.98566346061773,1.0,0.5783759487843434,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
23,181.75823165906766,10,0.6785560218466856,111.49312114164726,1.0,0.0975526448619143,191.90023355201706,1.0,0.24112191240775832,315.46636880825224,10,0.057994314423804476,220.37122902526775,1.0,0.6418186260490958,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
22,221.35138317392466,1.0,0.8129573063275746,80.69617187803217,10,0.40326840772220635,110.35504439669123,10,0.22230148375327877,78.51780637739841,1.5,0.743116198942532,337.8753135903092,10,0.13216712671495745,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
123,55.1954404072564,1.5,0.21044452932007784,88.63534891244058,1.5,0.10169602023943973,61.1362548967066,1.5,0.6052213099244669,252.29910376749098,1.0,0.4116481366764426,178.86491193004767,1.0,0.5849651001131482,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
