Expected Annual Damage 0,Dike Investment Costs 0,Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,Expected Annual Damage 1,Dike Investment Costs 1,Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,Expected Annual Damage 2,Dike Investment Costs 2,Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
45515681.22822148,1297356976,,,,,1395498768,,,,,1225851216,,,
39472713.23354206,0,0.07071791166397833,0.0,0.0,39472713.23354206,542,,,,,542,,,
693150506.1258128,0,0.3761015860726317,0.0,0.0,693150506.1258128,0,0.3761015860726317,0.0,0.0,425758559.3997531,1390301216,,,
154802542.76148313,0,0.25604842491266366,0.0,0.0,307399096.54254216,0,0.25604842491266366,0.0,0.0,237008611.66765958,0,0.25604842491266366,0.0,0.0
363706830.02051896,0,0.4108686046326947,0.0,0.0,443620693.5415126,0,0.4108686046326947,0.0,0.0,443620693.5415126,0,0.4108686046326947,0.0,0.0
13304564.021632917,0,0.02136936811662469,0.0,0.0,16227850.101718666,0,0.02136936811662469,0.0,0.0,13304564.021632917,0,0.02136936811662469,0.0,0.0
292397515.25972563,0,0.5992418208185509,0.0,0.0,367028149.66203916,0,0.5992418208185509,0.0,0.0,476033848.80376035,0,0.5992418208185509,0.0,0.0
517152968.4117234,0,0.6771573036724552,0.0,0.0,791780967.3961538,0,0.6771573036724552,0.0,0.0,1026936330.8133723,0,0.6771573036724552,0.0,0.0
505960835.784813,0,0.329605583265926,0.0,0.0,403079958.14064574,0,0.329605583265926,0.0,0.0,403079958.14064574,0,0.329605583265926,0.0,0.0
133417923.20471081,0,0.14410804399618277,0.0,0.0,133417923.20471081,0,0.14410804399618277,0.0,0.0,133417923.20471081,0,0.14410804399618277,0.0,0.0
499711993.8343652,0,0.3247434942556486,0.0,0.0,499711993.8343652,0,0.3247434942556486,0.0,0.0,398101740.90786916,0,0.3247434942556486,0.0,0.0
24451265.90626672,0,0.016601112423495833,0.0,0.0,19479403.42595114,0,0.016601112423495833,0.0,0.0,19479403.42595114,0,0.016601112423495833,0.0,0.0
503217198.95940894,0,0.32755751859509596,0.0,0.0,652670429.2994206,0,0.32755751859509596,0.0,0.0,652670429.2994206,0,0.32755751859509596,0.0,0.0
626729203.132258,0,0.6257102678882966,0.0,0.0,315613400.81663114,0,0.6257102678882966,0.0,0.0,483216183.7710476,0,0.6257102678882966,0.0,0.0
757403706.1619554,0,0.4538974324814752,0.0,0.0,757403706.1619554,0,0.4538974324814752,0.0,0.0,757403706.1619554,0,0.4538974324814752,0.0,0.0
363908936.6957109,0,0.5845255403382124,0.0,0.0,471988243.7051675,0,0.5845255403382124,0.0,0.0,289912555.66804284,0,0.5845255403382124,0.0,0.0
329741713.3310129,0,0.33246511359317177,0.0,0.0,504847170.41058767,0,0.33246511359317177,0.0,0.0,654784494.8937334,0,0.33246511359317177,0.0,0.0
406274233.22597617,0,0.3332721199603344,0.0,0.0,661429310.507539,0,0.3332721199603344,0.0,0.0,509970407.7301798,0,0.3332721199603344,0.0,0.0
509688776.9606725,0,0.33299348988802596,0.0,0.0,332904016.16773325,0,0.33299348988802596,0.0,0.0,406049868.5899109,0,0.33299348988802596,0.0,0.0
575818474.5710268,0,0.43381556687127426,0.0,0.0,458732910.16029024,0,0.43381556687127426,0.0,0.0,575818474.5710268,0,0.43381556687127426,0.0,0.0
