A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
89,168.94042225018313,1.0,0.3419169373347102,109.80210130823332,1.5,0.8494708721801035,336.2471075237787,1.0,0.5101216156508115,105.27775877427109,1.5,0.07006818322283989,135.92316903367777,1.5,0.34285339825832073,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
103,100.6025348376328,1.5,0.7545435822471936,225.32165542524896,10,0.6777242994434891,40.427513320295,1.0,0.017665259680843082,160.50922403187027,1.0,0.2549262558409765,329.1686941451422,1.0,0.40951440442476356,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
123,38.28140283730897,1.5,0.04022477429669852,306.88018433420774,1.0,0.039342473915910794,72.89698144026232,1.0,0.40840953937540403,86.08661343048398,10,0.7053144742814388,59.82314208392681,1.5,0.11094035489354503,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
41,288.7383700138323,10,0.16201077311090478,164.38842776768854,1.0,0.48649317537627856,292.24469679026504,10,0.23906592914593341,190.18664937103688,1.5,0.8569517412065647,70.59928130198858,10,0.6951029280868982,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
108,271.7682201664078,10,0.6412657867907179,81.45677020149117,1.0,0.9132978574202909,134.99238210070152,1.5,0.9135094574128289,315.2379748957985,10,0.3404592144765993,226.68780204552095,1.0,0.8907793209088546,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
60,157.0715039032541,10,0.9198756212960476,274.2526452760066,10,0.5749180226818802,184.79323954842297,10,0.8850825168781099,138.7370288359176,1.0,0.6392918689865239,182.25842354129244,10,0.7535542713930977,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
28,227.01480272288978,1.5,0.5775371600505144,200.47860276778167,1.5,0.18078912660025775,102.1250482460973,1.5,0.740511484809732,268.8604214693499,1.5,0.4432353290178153,205.9653772461513,10,0.24875322803879096,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
26,206.5686140428319,1.5,0.8131303615713709,38.40191422481827,10,0.7454190824594497,281.218407069069,10,0.13880524252434126,320.62124107325894,10,0.9789223996977804,264.28171939388926,1.0,0.5339177550143198,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
10,323.748050710798,1.0,0.27214249333811574,150.2243521917555,1.5,0.3885643837641884,233.33760982399093,1.5,0.6563571539928482,231.51565991884422,1.0,0.5805717897498396,103.35038907353723,10,0.00028161416765856153,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
77,79.33732358106342,1.0,0.4034719530249558,335.2904746380877,1.5,0.23320980637966038,207.7747171620506,10,0.35613236282761046,37.12103250386304,10,0.11639635616420518,289.53261299920337,1.5,0.9730838928739755,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
